Species	Phylum	Order	Genus	TaxID	B12 synthesis	DMB synthesis	B7 synthesis	B3 synthesis	PABA synthesis
[Clostridium] saccharolyticum	Firmicutes	Clostridiales	Lachnoclostridium	84030	1	0	0	0	0
Vitellibacter sp. D-24	Bacteroidetes	Flavobacteriales	Vitellibacter	1548749	0	0	0	1	1
Burkholderia sp. MSMB1072	Proteobacteria	Burkholderiales	Burkholderia	1637871	1	1	1	1	0
Burkholderia sp. MSMB1835	Proteobacteria	Burkholderiales	Burkholderia	1637876	1	1	1	1	0
Burkholderia sp. MSMB1826	Proteobacteria	Burkholderiales	Burkholderia	1637875	1	1	1	1	0
Lactobacillus otakiensis	Firmicutes	Lactobacillales	Lactobacillus	481720	0	0	0	0	0
Lactobacillus kisonensis	Firmicutes	Lactobacillales	Lactobacillus	481722	1	0	0	0	0
Paenibacillus peoriae	Firmicutes	Bacillales	Paenibacillus	59893	1	1	1	1	1
Desulfitibacter alkalitolerans	Firmicutes	Clostridiales	Desulfitibacter	264641	1	1	0	1	1
Cellvibrio mixtus	Proteobacteria	Cellvibrionales	Cellvibrio	39650	0	0	1	1	1
Paenibacillus sp. OSY-SE	Firmicutes	Bacillales	Paenibacillus	1196323	1	1	1	1	1
Clostridium sp. Maddingley MBC34-26	Firmicutes	Clostridiales	Clostridium	1196322	1	0	0	1	1
Legionella drancourtii	Proteobacteria	Legionellales	Legionella	168933	0	0	1	1	1
Thalassospira lucentensis	Proteobacteria	Rhodospirillales	Thalassospira	168935	1	1	0	1	1
Alicyclobacillus ferrooxydans	Firmicutes	Bacillales	Alicyclobacillus	471514	0	1	0	0	1
Anaerotruncus sp. G3(2012)	Firmicutes	Clostridiales	Anaerotruncus	1235835	1	0	0	0	0
[Ruminococcus] gnavus	Firmicutes	Clostridiales	Blautia	33038	1	1	0	1	0
[Ruminococcus] torques	Firmicutes	Clostridiales	Blautia	33039	1	0	0	1	0
Anaerococcus tetradius	Firmicutes	Tissierellales	Anaerococcus	33036	0	0	0	1	0
Leisingera aquimarina	Proteobacteria	Rhodobacterales	Leisingera	476529	1	1	1	1	1
Anaerococcus prevotii	Firmicutes	Tissierellales	Anaerococcus	33034	0	0	0	0	0
Blautia producta	Firmicutes	Clostridiales	Blautia	33035	1	0	0	1	1
Anaerococcus lactolyticus	Firmicutes	Tissierellales	Anaerococcus	33032	0	0	0	0	0
Parvimonas micra	Firmicutes	Tissierellales	Parvimonas	33033	0	0	0	0	0
Peptoniphilus lacrimalis	Firmicutes	Tissierellales	Peptoniphilus	33031	0	0	0	1	0
Moritella sp. JT01	Proteobacteria	Alteromonadales	Moritella	756698	0	0	1	1	1
Stanieria cyanosphaera	Cyanobacteria	Pleurocapsales	Stanieria	102116	1	0	1	1	0
Streptomyces variegatus	Actinobacteria	Streptomycetales	Streptomyces	284040	1	1	1	1	0
Actinomyces dentalis	Actinobacteria	Actinomycetales	Actinomyces	272548	0	0	0	0	0
Streptomyces violaceorubidus	Actinobacteria	Streptomycetales	Streptomyces	284042	1	1	0	1	0
Rhizobium sp. LMB-1	Proteobacteria	Rhizobiales	Rhizobium	1605895	0	1	0	0	0
Candidatus Methylopumilus planktonicus	Proteobacteria	Methylophilales	Candidatus Methylopumilus	1581557	0	0	1	1	1
Tamlana nanhaiensis	Bacteroidetes	Flavobacteriales	Tamlana	1382798	0	0	0	0	1
Bacteroides sp. CAG:714	Bacteroidetes	Bacteroidales	Bacteroides	1262749	0	0	1	0	0
Bacteroides sp. CAG:709	Bacteroidetes	Bacteroidales	Bacteroides	1262748	0	0	0	0	0
Idiomarina salinarum	Proteobacteria	Alteromonadales	Idiomarina	435908	0	0	1	1	1
Bacteroides sp. CAG:598	Bacteroidetes	Bacteroidales	Bacteroides	1262743	1	0	0	1	0
Bacteroides sp. CAG:545	Bacteroidetes	Bacteroidales	Bacteroides	1262742	0	0	0	0	0
Arthrobacter globiformis	Actinobacteria	Micrococcales	Arthrobacter	1665	0	0	1	1	0
Bacteroides sp. CAG:462	Bacteroidetes	Bacteroidales	Bacteroides	1262740	0	1	1	1	0
Bacteroides sp. CAG:702	Bacteroidetes	Bacteroidales	Bacteroides	1262747	0	0	1	1	0
Bacteroides sp. CAG:661	Bacteroidetes	Bacteroidales	Bacteroides	1262746	1	0	1	1	0
Trueperella pyogenes	Actinobacteria	Actinomycetales	Trueperella	1661	0	0	0	0	0
Bacteroides sp. CAG:633	Bacteroidetes	Bacteroidales	Bacteroides	1262744	0	0	1	1	0
Streptomyces achromogenes	Actinobacteria	Streptomycetales	Streptomyces	67255	1	1	0	1	0
Flavobacteria bacterium BBFL7	Bacteroidetes	root	root	156586	0	0	1	0	1
Caldithrix abyssi	root	root	Caldithrix	187145	0	1	0	1	1
Aliiroseovarius crassostreae	Proteobacteria	Rhodobacterales	Aliiroseovarius	154981	1	1	0	1	1
Pseudomonas fuscovaginae	Proteobacteria	Pseudomonadales	Pseudomonas	50340	1	1	1	1	1
Lysinibacillus fusiformis	Firmicutes	Bacillales	Lysinibacillus	28031	1	1	1	1	1
Streptococcus mitis	Firmicutes	Lactobacillales	Streptococcus	28037	0	0	0	0	0
Sulfobacillus thermosulfidooxidans	Firmicutes	Clostridiales	Sulfobacillus	28034	1	1	1	1	1
Staphylococcus lugdunensis	Firmicutes	Bacillales	Staphylococcus	28035	0	0	0	0	1
Lactobacillus curvatus	Firmicutes	Lactobacillales	Lactobacillus	28038	0	0	0	0	0
Bacillus sp.	Firmicutes	Bacillales	Bacillus	1409	0	0	1	1	1
Bacillus pumilus	Firmicutes	Bacillales	Bacillus	1408	0	0	0	1	1
Vibrio sp. ECSMB14106	Proteobacteria	Vibrionales	Vibrio	1638949	0	0	0	0	1
Bacillus licheniformis	Firmicutes	Bacillales	Bacillus	1402	0	0	1	1	1
Streptomyces sp. e14	Actinobacteria	Streptomycetales	Streptomyces	645465	0	1	0	0	0
Paenibacillus polymyxa	Firmicutes	Bacillales	Paenibacillus	1406	1	1	0	1	1
Bacillus mycoides	Firmicutes	Bacillales	Bacillus	1405	0	0	1	1	1
Bacillus megaterium	Firmicutes	Bacillales	Bacillus	1404	1	1	1	1	1
Paenibacillus sp. IHB B 3084	Firmicutes	Bacillales	Paenibacillus	867076	1	1	0	1	1
Amycolatopsis jejuensis	Actinobacteria	Pseudonocardiales	Amycolatopsis	330084	1	1	0	1	1
Sphingobium czechense LL01	Proteobacteria	Sphingomonadales	Sphingobium	1420583	0	1	1	1	0
Rubritalea marina	Verrucomicrobia	Verrucomicrobiales	Rubritalea	361055	0	0	1	1	1
Pseudooceanicola atlanticus	Proteobacteria	Rhodobacterales	Pseudooceanicola	1461694	1	0	0	1	1
Actibacterium atlanticum	Proteobacteria	Rhodobacterales	Actibacterium	1461693	1	1	1	1	1
[Clostridium] mangenotii	Firmicutes	Clostridiales	Peptoclostridium	1540	1	0	0	1	0
Ochrobactrum sp. EGD-AQ16	Proteobacteria	Rhizobiales	Ochrobactrum	1390361	1	1	1	1	0
Sphingopyxis granuli	Proteobacteria	Sphingomonadales	Sphingopyxis	267128	0	0	1	1	1
Candidatus Liberibacter asiaticus	Proteobacteria	Rhizobiales	Candidatus Liberibacter	34021	0	0	1	0	0
Clostridium sp. CAG:510	Firmicutes	Clostridiales	Clostridium	1262816	0	0	0	0	0
Clostridium sp. CAG:505	Firmicutes	Clostridiales	Clostridium	1262814	0	0	1	0	0
Clostridium akagii	Firmicutes	Clostridiales	Clostridium	91623	1	0	0	1	1
Leptothrix cholodnii	Proteobacteria	Burkholderiales	Leptothrix	34029	0	0	1	1	0
Paenibacillus chitinolyticus	Firmicutes	Bacillales	Paenibacillus	79263	1	1	1	0	1
Paenibacillus ehimensis	Firmicutes	Bacillales	Paenibacillus	79264	1	1	1	1	1
Paenibacillus jamilae	Firmicutes	Bacillales	Paenibacillus	114136	1	0	0	1	1
Xanthomonas campestris	Proteobacteria	Xanthomonadales	Xanthomonas	339	0	0	1	0	0
Streptomyces violaceoruber	Actinobacteria	Streptomycetales	Streptomyces	1935	1	1	0	1	0
Burkholderia glumae	Proteobacteria	Burkholderiales	Burkholderia	337	1	1	1	1	1
Hyphomonas neptunium ATCC 15444	Proteobacteria	Rhodobacterales	Hyphomonas	228405	0	0	1	1	1
Pseudomonas pseudoalcaligenes	Proteobacteria	Pseudomonadales	Pseudomonas	330	1	1	1	1	1
Lactobacillus heilongjiangensis	Firmicutes	Lactobacillales	Lactobacillus	1074467	0	0	0	0	0
Citromicrobium sp. JL31	Proteobacteria	Sphingomonadales	Citromicrobium	1628321	0	0	0	1	0
Gulosibacter molinativorax	Actinobacteria	Micrococcales	Gulosibacter	256821	0	0	0	1	0
Staphylococcus simiae	Firmicutes	Bacillales	Staphylococcus	308354	0	0	0	0	0
Streptococcus sp. 2_1_36FAA	Firmicutes	Lactobacillales	Streptococcus	469609	0	0	0	0	0
uncultured denitrifying bacterium	root	root	root	206937	0	0	0	0	0
Fictibacillus macauensis	Firmicutes	Bacillales	Fictibacillus	245160	1	1	1	1	1
Robinsoniella peoriensis	Firmicutes	Clostridiales	Robinsoniella	180332	0	0	0	1	1
Thalassobius mediterraneus	Proteobacteria	Rhodobacterales	Thalassobius	340021	1	1	0	1	1
Pseudanabaena sp. PCC 7367	Cyanobacteria	Oscillatoriales	Pseudanabaena	82654	1	0	1	1	0
Helicobacter typhlonius	Proteobacteria	Campylobacterales	Helicobacter	76936	0	0	1	1	0
Ruania albidiflava	Actinobacteria	Micrococcales	Ruania	366586	0	0	0	1	0
Salegentibacter sp. Hel_I_6	Bacteroidetes	Flavobacteriales	Salegentibacter	1250278	0	0	1	0	1
Bordetella petrii	Proteobacteria	Burkholderiales	Bordetella	94624	0	0	1	1	0
Ochrobactrum intermedium	Proteobacteria	Rhizobiales	Ochrobactrum	94625	1	1	0	1	0
